"old.code","new.code","type.org","broad.category","major.group","univ","hosp","two.digit","further.category","division.subdivision","broad.category.description","major.group.description","code.name","division.subdivision.description","keywords","further.category.desciption"
"A01","AA-ART-A00","AA","ART","A",FALSE,FALSE,"01","","00","Arts, Culture & Humanities","Arts, Culture & Humanities","Alliances & Advocacy","Alliance/Advocacy Organizations","Arts Alliances, Arts Coalitions, Lobbying, Public Awareness"," "
"A0161","AA-ART-A61","AA","ART","A",FALSE,FALSE,"01","61","61","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Alliance/Advocacy Organizations",NA,"Providing support to organizations that operate facilities including theaters for the performing arts."
"A02","MT-ART-A00","MT","ART","A",FALSE,FALSE,"02","","00","Arts, Culture & Humanities","Arts, Culture & Humanities","Management & Technical Assistance","Management and Technical Assistance","Professional Continuing Education"," "
"A0226","MT-ART-A26","MT","ART","A",FALSE,FALSE,"02","26","26","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Management and Technical Assistance",NA,"Providing support to organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community."
"A0254","MT-ART-A54","MT","ART","A",FALSE,FALSE,"02","54","54","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Management and Technical Assistance",NA,"Providing support to organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures."
"A0261","MT-ART-A61","MT","ART","A",FALSE,FALSE,"02","61","61","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Management and Technical Assistance",NA,"Providing support to organizations that operate facilities including theaters for the performing arts."
"A0282","MT-ART-A82","MT","ART","A",FALSE,FALSE,"02","82","82","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Management and Technical Assistance",NA,"Providing support to organizations that interpret, collect and preserve the historical heritage of a specific geographic location."
"A0290","MT-ART-A90","MT","ART","A",FALSE,FALSE,"02","90","90","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Management and Technical Assistance",NA,"Providing support to organizations that provide services such as facilities or touring assistance for arts organizations."
"A03","PA-ART-A00","PA","ART","A",FALSE,FALSE,"03","","00","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Societies & Associations","Professional Societies/Associations",""," "
"A0320","PA-ART-A20","PA","ART","A",FALSE,FALSE,"03","20","20","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts."
"A0325","PA-ART-A25","PA","ART","A",FALSE,FALSE,"03","25","25","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education."
"A0330","PA-ART-A30","PA","ART","A",FALSE,FALSE,"03","30","30","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below."
"A0333","PA-ART-A33","PA","ART","A",FALSE,FALSE,"03","33","33","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations that publish a variety of materials on diverse topics. Includes university presses."
"A0340","PA-ART-A40","PA","ART","A",FALSE,FALSE,"03","40","40","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles."
"A0350","PA-ART-A50","PA","ART","A",FALSE,FALSE,"03","50","50","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below."
"A0360","PA-ART-A60","PA","ART","A",FALSE,FALSE,"03","60","60","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below."
"A0361","PA-ART-A61","PA","ART","A",FALSE,FALSE,"03","61","61","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations that operate facilities including theaters for the performing arts."
"A0365","PA-ART-A65","PA","ART","A",FALSE,FALSE,"03","65","65","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)"
"A0368","PA-ART-A68","PA","ART","A",FALSE,FALSE,"03","68","68","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations whose primary activity is the production of musical events, including concert series and music festivals."
"A0369","PA-ART-A69","PA","ART","A",FALSE,FALSE,"03","69","69","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations whose primary activity is the operation of a symphony"
"A0370","PA-ART-A70","PA","ART","A",FALSE,FALSE,"03","70","70","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion)."
"A0380","PA-ART-A80","PA","ART","A",FALSE,FALSE,"03","80","80","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Professional Societies/Associations",NA,"Providing support to organizations that promote awareness of and appreciation for history and historical artifacts.  Use this code for organizations that are not specified below."
"A05","RP-ART-A00","RP","ART","A",FALSE,FALSE,"05","","00","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institutes & Public Policy Analysis","Research Institutes and/or Public Policy Analysis",""," "
"A0534","RP-ART-A34","RP","ART","A",FALSE,FALSE,"05","34","34","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to organizations engaged in radio productions and broadcast, including public radio stations and radio stations that offer programming that is designed for community residents who are blind or visually impaired (radio reading services)."
"A0561","RP-ART-A61","RP","ART","A",FALSE,FALSE,"05","61","61","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Research Institutes and/or Public Policy Analysis",NA,"Providing support to organizations that operate facilities including theaters for the performing arts."
"A11","MS-ART-A00","MS","ART","A",FALSE,FALSE,"11","","00","Arts, Culture & Humanities","Arts, Culture & Humanities","Single Organization Support","Monetary Support - Single Organization",""," "
"A1120","MS-ART-A20","MS","ART","A",FALSE,FALSE,"11","20","20","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts."
"A1132","MS-ART-A32","MS","ART","A",FALSE,FALSE,"11","32","32","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television."
"A1140","MS-ART-A40","MS","ART","A",FALSE,FALSE,"11","40","40","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles."
"A1150","MS-ART-A50","MS","ART","A",FALSE,FALSE,"11","50","50","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below."
"A1151","MS-ART-A51","MS","ART","A",FALSE,FALSE,"11","51","51","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that acquire, preserve and exhibit collections of objects including fine art, decorative art, folk/ethnic art and textiles that are collected primarily for their aesthetic qualities and their importance as representatives of a particular artistic tradition or style."
